Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Основы алгоритмизации и программирования на Visual C++. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М Высшее образование. Бакалавриат,2531,4776,47%,На складе
Программирование на языке Си. Учебное пособие для вузов,Рацеев Сергей Михайлович,Лань Компьютеры и программное обеспечение,2122,4003,47%,На складе
Руткиты и буткиты. Обратная разработка вредоносных программ и угрозы следующего поколения,Матросов Александр и др.,ДМК-Пресс,2187,4127,47%,На складе
Профессиональный бенчмарк. Искусство измерения производительности,Акиньшин Андрей,Питер Библиотека программиста,2597,3329,22%,На складе
Язык программирования C# 9 и платформа .NET 5: основные принципы и практики программирования,"Троелсен Эндрю, Джепикс Филипп",Диалектика,5495,10368,47%,На складе
Основы построения экономических моделей в Excel. Учебник для СПО,"Воскобойников Юрий Евгеньевич, Мухина Ирина Николаевна",Лань Компьютеры и программное обеспечение,1229,2318,47%,Ограничено
Программирование на языке Си.Учебное пособие для СПО,Рацеев Сергей Михайлович,Лань Компьютеры и программное обеспечение,2009,3791,47%,Ограничено
JavaScript.Как писать программы.Учебное пособие для вузов,Янцев Валерий Викторович,Лань Компьютеры и программное обеспечение,1452,2740,47%,Ограничено
JavaScript.Как писать программы Учебное пособие для СПО,Янцев Валерий Викторович,Лань Компьютеры и программное обеспечение,1606,3030,47%,Ограничено
Теория автоматического управления в примерах и задачах с решениями в MATLAB. Учебное пособие,Гайдук Анатолий Романович и др.,Лань Учебники для вузов. Специальная литература,2209,4167,47%,Ограничено
Язык программирования С++,Страуструп Бьерн,Бином,1654,3120,47%,На складе
Построение распределенных систем на базе WebSocket. Учебное пособие для вузов,"Хабаров Сергей Петрович, Шилкина Мария Львовна",Лань Компьютеры и программное обеспечение,1554,2933,47%,На складе
Svelte и Sapper в действии,Волкманн Марк,Питер Для профессионалов,3844,4928,22%,На складе
Хочу в геймдев! Основы игровой разработки для начинающих,"Уточкин Вячеслав Николаевич, Сахнов Константин Сергеевич",Бомбора Российский компьютерный бестселлер,950,1301,27%,На складе
Разработка игр и теория развлечений,Костер Рэф,ДМК-Пресс,1504,2837,47%,На складе
Структуры данных в Python. Начальный курс,Шихи Дональд Р.,ДМК-Пресс,1094,2064,47%,На складе
Большая книга проектов Python,Свейгарт Эл,Питер,1547,1983,22%,На складе
System Design. Подготовка к сложному интервью,Сюй Алекс,Питер,1287,1650,22%,На складе
Отзывчивый дизайн на HTML5 и CSS3 для любых устройств,Фрэйн Бен,Питер,2077,2663,22%,На складе
Глубокое обучение с подкреплением. Теория и практика на языке Python,"Грессер Лаура, Кенг Ван Лун",Питер Библиотека программиста,2325,2981,22%,На складе
Искусство WebAssembly. Создание безопасных межплатформенных высокопроизводительных приложений,Баттальини Рик,ДМК-Пресс,1367,2580,47%,На складе
Микросервисы Spring в действии,"Карнелл Джон, Санчес Иллари Уайлупо",ДМК-Пресс,2187,4127,47%,На складе
Осваиваем архитектуру Transformer. Разработка современных моделей с помощью передовых методов,"Йылдырым Саваш, Асгари-Ченаглу Мейсам",ДМК-Пресс,1778,3354,47%,На складе
Основы юзабилити-тестирования,Барнум Кэрол М.,ДМК-Пресс,2187,4127,47%,На складе
Творческие проекты с микроконтроллером в среде TinyGo и WebAssembly,Тил Тобиас,ДМК-Пресс,1504,2837,47%,На складе
Программирование на Python. Первые шаги,Щерба Анастасия Владимировна,Лаборатория знаний Школа юного программиста,743,1238,40%,На складе
Вычисления в кольцах некоммутативных многочленов. Учебное пособие для вузов,Цирулик Владимир Григорьевич,Лань Компьютеры и программное обеспечение,2131,4021,47%,На складе
Практический анализ двоичных файлов,Эндриесс Дэннис,ДМК-Пресс,2187,4127,47%,На складе
Основы алгоритмизации и программирования на языке Паскаль. Лабораторный практикум. Учебное пособие,Коренская Ирина Николаевна,Лань Компьютеры и программное обеспечение,842,1588,47%,Ограничено
Исследование операций. Том 1. Линейное программирование. Учебник для вузов,Трушков Александр Сергеевич,Лань Компьютеры и программное обеспечение,1728,3261,47%,На складе
Игра в цифры. Как аналитика позволяет видеоиграм жить лучше,Сабиров Василий Константинович,Бомбора Российский компьютерный бестселлер,1384,1896,27%,На складе
Apache Airflow и конвейеры обработки данных,"Харенслак Бас, Руйтер Джулиан де",ДМК-Пресс,2325,4386,47%,На складе
Python для всех,Северанс Чарльз Р.,ДМК-Пресс,820,1547,47%,На складе
Практикум по проектированию на языках VerilogHDL и SystemVerilog. Учебное пособие,"Мурсаев Александр Хафизович, Буренева Ольга Игоревна",Лань Учебники для вузов. Специальная литература,719,1356,47%,На складе
Использование языка Python в теории вероятности. Учебник,Криволапов Сергей Яковлевич,Прометей,1512,2852,47%,На складе
Экономика на Python. Учебник,"Хрипунова Марина Борисовна, Губернаторов Алексей Михайлович",Прометей,1099,2074,47%,На складе
Black Hat Python. Программирование для хакеров и пентестеров,"Зейтц Джастин, Арнольд Тим",Питер Библиотека программиста,1547,1983,22%,На складе
Однострочники Python. Лаконичный и содержательный код,Майер Кристиан,Питер Библиотека программиста,1547,1983,22%,На складе
Гид Java-разработчика. Проектно-ориентированный подход,"Урма Рауль-Габриэль, Уорбэртон Ричард",Бомбора Мировой компьютерный бестселлер,812,1113,27%,На складе
"PHP 8. Объекты, шаблоны и методики программирования",Зандстра Мэтт,Диалектика,4472,8438,47%,На складе
Python и DevOps. Ключ к автоматизации Linux,Гифт Ной и др.,Питер Бестселлеры O`Reilly,2345,3006,22%,На складе
Прикладное программирование на С/С++: с нуля,Иванов Всеволод Борисович,Солон-пресс Программирование,684,1290,47%,На складе
Введение в логическое программирование,"Дженесерет Майкл, Чаудри Винай К.",ДМК-Пресс,1230,2321,47%,На складе
Параллельное программирование на C# и .NET Core,Шакти Танвар,ДМК-Пресс,1367,2580,47%,На складе
Разработка игр на языке JavaScript. Учебное пособие,Беляев Сергей Алексеевич,Лань Компьютеры и программное обеспечение,413,780,47%,На складе
Параллельные и высокопроизводительные вычисления,"Роби Роберт, Замора Джулиана",ДМК-Пресс,2734,5159,47%,На складе
Исследование операций в экономике. Практикум. Учебное пособие для вузов,Слабнов Виктор Дмитриевич,Лань Компьютеры и программное обеспечение,2221,4191,47%,На складе
"Паттерны разработки на Python. TDD, DDD и событийно-ориентированная архитектура","Персиваль Гарри, Грегори Боб",Питер Для профессионалов,1947,2496,22%,На складе
WebAssembly в действии,Галлан Жерар,Питер Библиотека программиста,2586,3315,22%,На складе
Разработка моделей предметной области автоматизации. Учебник для вузов,Котлинский Сергей Владимирович,Лань Компьютеры и программное обеспечение,2593,4892,47%,На складе
Разработка моделей предметной области автоматизации. Учебник для СПО,Котлинский Сергей Владимирович,Лань Компьютеры и программное обеспечение,2345,4425,47%,На складе
Проектирование человеко-машинного взаимодействия. Учебник для вузов,Игнатьев Александр Владимирович,Лань Компьютеры и программное обеспечение,379,716,47%,На складе
Программные коллекции данных. Проектирование и реализация. Учебник,Романенко Татьяна Александровна,Лань Компьютеры и программное обеспечение,1358,2563,47%,Ограничено
Программные коллекции данных. Проектирование и реализация. Учебное пособие для СПО,Романенко Татьяна Александровна,Лань Компьютеры и программное обеспечение,1358,2563,47%,На складе
C# 9 и .NET 5. Разработка и оптимизация,Прайс Марк Дж.,Питер Для профессионалов,3246,4162,22%,На складе
Функциональное программирование. Учебник,Гордиенко Александр Петрович,Кнорус Магистратура,938,1769,47%,Ограничено
Clojure на производстве,Гришаев Иван,ДМК-Пресс,1367,2580,47%,На складе
Алгоритмы ГИС,Сяо Нинчуань,ДМК-Пресс,1367,2580,47%,На складе
Изучаем SHINY,Уикем Хэдли,ДМК-Пресс,1778,3354,47%,На складе
Анализ поведенческих данных на R и PYTHON,Бюиссон Флоран,ДМК-Пресс,1778,3354,47%,На складе
Оптимизация запросов PostgreSQL,Домбровская Генриэтта и др.,ДМК-Пресс,1367,2580,47%,На складе
Разработка беспилотных транспортных средств,Лю Шаошань и др.,ДМК-Пресс,1504,2837,47%,На складе
Сети 6G. Путь от 5G к 6G глазами разработчиков,Тонг Вэнь и др.,ДМК-Пресс,2734,5159,47%,На складе
Статистические вычисления на платформе Jupyter Notebook с использованием Python. Учебник,Криволапов Сергей Яковлевич,Кнорус Бакалавриат и магистратура,1250,2359,47%,Ограничено
Корпоративные информационные системы на базе решения Oracle E-Business Suite. Калькуляция затрат,"Васильева Елена Викторовна, Громова Алла Александровна",Прометей,552,1042,47%,На складе
Проектирование цифровых образовательных ресурсов,Коннова Лариса Петровна и др.,Прометей,1030,1944,47%,На складе
Классические задачи Computer Science на языке Java,Копец Дэвид,Питер Библиотека программиста,1415,1814,22%,На складе
Информационное моделирование: методолгия использования цифровых моделей. Часть 1,Бачурина Светлана Самуиловна,ДМК-Пресс,683,1289,47%,На складе
Head First. Паттерны проектирования,Фримен Эрик и др.,Питер Head First (O'Reilly),1895,2430,22%,На складе
Web-программирование на JavaScript. Учебное пособие для СПО,Диков Андрей Валентинович,Лань Компьютеры и программное обеспечение,971,1833,47%,Ограничено
Автоматизация рутинных задач с помощью Python,Свейгарт Эл,Диалектика,2749,5186,47%,На складе
Алгоритмы. Теория и практическое применение,Стивенс Род,Эксмо Мировой компьютерный бестселлер,1167,1599,27%,На складе
Апокалипсис криптографии. Подготовка криптографии к квантовым вычислениям,Граймс Роджер А.,ДМК-Пресс,1230,2321,47%,На складе
"{Вы пока еще не знаете JS} Познакомьтесь, JavaScript",Симпсон Кайл,Питер Библиотека программиста,1027,1317,22%,На складе
